n_particles,w,c1,c2,penalty_method,rho,C,alpha,best_position,objective_value,inequality_0,inequality_1,violated
56,0.4298422885700375,1.9793255956729436,2.4638226657366546,ADAPTIVE,NA,0.5199789018813555,1.013665462050256,"[1.4585492540479639, 0.3194821989718455]",-0.5173686606348642,0.2840194770080116,-13.221968546980191,True
10,0.40941052942145695,1.5219464962220883,2.047138500161269,ADAPTIVE,NA,0.5093973384975028,1.3300349456888796,"[1.6119954046120424, 0.4568138793954012]",-0.3719856731878217,0.013618125651613577,-12.931190715992557,True
60,1.344371570669475,1.5380594126382643,2.045356767430885,ADAPTIVE,NA,0.5064061605136482,1.0249145405178377,"[0.0, 1.1331235805805155]",-0.41997442041379246,0.75,-13.866876419419484,True
58,0.5091945358576508,1.5269886407514277,2.487580358894459,ADAPTIVE,NA,0.5061519497624288,1.191391019948831,"[1.1971261943365819, 0.18103147256043117]",-0.5686284551907528,0.5332824821985837,-13.621842333102986,True
25,0.4469928766438025,1.5192986722120772,2.4758287671582333,ADAPTIVE,NA,0.51997322614347,1.9312888737559368,"[1.736072834077775, 0.33803390214679974]",-0.4135552670228013,0.1631485254856362,-12.925893263775425,True
48,1.3415116797904147,1.5256776027251968,2.4808413582662423,ADAPTIVE,NA,0.5148689324483158,1.0524013206292575,"[1.9240757604369922, 0.0]",-0.40275361435772605,0.75,-13.075924239563008,True
38,0.43269058321559495,1.5548046043457158,2.463464952089279,STATIC,637.6231805188537,NA,NA,"[1.6007604504984094, 0.4682656153315867]",-0.36520314052664826,0.0004189226488943154,-12.930973934170003,True
41,0.5260188497569555,1.9683257898463264,2.4558440349705584,ADAPTIVE,NA,0.5523581446775785,1.957999999567095,"[1.4712214127687184, 0.18939570061201172]",-0.6094685399144721,0.4713569897732749,-13.33938288661927,True
60,0.42997212139901964,1.6931618669695365,2.4291365147429107,STATIC,9006.624387720474,NA,NA,"[1.600747166128903, 0.46851301281342367]",-0.3649952622240073,2.912244439767786e-05,-12.930739821057674,True
60,0.4168104809273572,1.6191861292222747,2.4411663998506126,ADAPTIVE,NA,0.7382437204199717,1.9565093003889193,"[1.5269628278802871, 0.12518956997141673]",-0.6279532215671327,0.5588401802153284,-13.347847602148295,True
59,0.4098120965399682,1.991234553785976,2.0756925625593476,ADAPTIVE,NA,0.9845271511996052,1.0724862961875845,"[1.6329041180751422, 0.4247992613303949]",-0.39240840005575073,0.056343536818319606,-12.942296620594462,True
